Region,project,bp_from,bp_to,km from,km to,distance,Bemerkungen,date from,date to,amount of weeks,Umsetzung /  Intervalltyp / Umleitung,reduction of capacity,bis_geopos,von Betriebspunkt
RWT,Puidoux - Palézieux  : Wako lot 2.1,PUI,PAL,,,,,1/1/2023,6/29/2024,78,Sperre Strecke Nacht,0.5,"46.5427635573, 6.83787521203",Palézieux,2
RWT,Palézieux : Wako lot 2.2,,,,,,,1/1/2024,12/29/2024,52,,,,,404
? : ne correspond pas à Railsys,,,,,,,,,,,,,,,404
RWT,Viaduc de la Paudèze,PU,CU,0.85,4.144,-3.294,"EP terminée, B. Miraton",1/8/2024,12/31/2025,104,Sperre Strecke 24 Std,0.5,"46.4885617736, 6.72715145406",Cully,3
RWT,"MX-TER, PS Rue d'Etraz",MX,TER,23.806,28.644,-4.838,"EP treminée, D. Luce",1/1/2024,12/29/2024,52,Sperre Strecke Nacht,0.5,"46.4263815833, 6.9227068988",Territet,2
RWT,FbE24 MX-VIL_V_633_637,VIL,MX,28.61,24.027,4.583,,7/8/2024,4/13/2025,40,Sperre Strecke Nacht,0.25,"46.4358843229, 6.91044006944",Montreux,2
RWT,"Brig, tunnel du Simplon - assainissement du tube 1",BR,STDG,157.729,166.869,-9.14,1 tube en 2023 1 tube en 2024,1/1/2023,12/2/2023,48,Sperre Strecke 24 Std,0.5,"46.2723377046, 8.09349478399",Staz della Galleria Sempione,3
RWT,Chavornay - boucle Travys,CHV,CHV,,,,Acerra Mariangela / prévu SAP 2023 +3mio 2024,1/1/2023,5/18/2024,72,Sperre Strecke Nacht,0.25,"46.7100845475, 6.56816325981",Chavornay,2
RWT,"LHE, assainissement pont Le Paradis",LHE,LHE,44.65,,,Frédéric Restani,1/1/2024,12/29/2024,52,Sperre Strecke Tag,0.5,"47.1894917627, 7.22539576798",La Heutte,1
RWT,,,,,,,,,,,,,,,404
ROT,AS35 ZSEB Kreuzungsgleis G 750m,ZSEB,ZSEB,,,,Anpassung gesamt Bhf Anlage,1/1/2025,11/16/2027,150,Umsetzung,0.25,"47.4187500474, 8.54466018901",Zürich Seebach,0
ROT,ZUE Gesamterneuerung Brücke km 1.89 (Ev. Hardbrücke?),ZUE,ZUE,,,,,1/1/2031,11/30/2032,100,Umsetzung,,"47.3781766923, 8.54021233623",Zürich HB,0
ROT,Unterführung Langstrasse,ZUE,,,,,Projekt Stadt ZUE: Anpassung Kabelkanal,1/1/2023,11/30/2024,100,Sperre Bahnhof Nacht,,,,5
ROT,Stw Ersatz KLW (2030?),KLW,KLW,,,,Stw. Ersatz DO 67: 2027-30,6/22/2027,12/2/2030,180,Umsetzung,,"47.4333288409, 8.35421393402",Killwangen-Spreitenbach,0
ROT,Stw Ersatz SCHL (2028?),SCHL,SCHL,,,,Stw. Ersatz DO 67: 2027-30,6/22/2027,12/2/2030,180,Umsetzung,,"47.3991763687, 8.44724501036",Schlieren,0
ROT,"FbE24 SCHL_Gl.51, 52, 62, W71, W72 (ex 2022)",SCHL,SCHL,,,,Koo mit Pdu Goldschlägi,8/25/2024,9/21/2024,4,Sperre Strecke Nacht,0.5,"47.3991763687, 8.44724501036",Schlieren,2
ROT,Cluster Heitersberg,KLW,MELH,,,,,7/1/2023,9/8/2023,10,Sperre Strecke 24 Std,1,"47.4280750785, 8.27636329083",Mellingen Heitersberg,3
ROT,Stw Ersatz ZWOL,ZWOL,ZWOL,,,,,1/1/2027,11/30/2028,100,Umsetzung,,"47.34744029, 8.53360098792",Zürich Wollishofen,0
ROT,FbE24:TW W 3-11,TW,TW,,,2.1,"voraussichtlich 3 - 4 WE, Klärung ob Radien noch konform läuft bei                                    Stefan Gasser",10/20/2024,11/16/2024,4,Umsetzung,0.5,"47.2959813712, 8.56476944831",Thalwil,0
ROT,FbE26: RG-BIL Gl.152 (ex FbE21),RG,BL,,,3.267,2 KW Einspur,3/22/2026,5/30/2026,10,Sperre Strecke Tag,0.5,"46.5289636663, 7.67555743661",Blausee-Mitholz,1
ROT,Sanierung Riesbachtunnel,ZSTH,ZTB,,,0,,6/1/2025,10/4/2025,18,Umsetzung,,"47.3501246373, 8.56138988846",Zürich Tiefenbrunnen,0
ROT,Totalsperrung Riesbachtunnel,ZSTH,ZTB,,,0,,7/14/2025,8/10/2025,4,Sperre Strecke 24 Std,1,"47.3501246373, 8.56138988846",Zürich Tiefenbrunnen,3
ROT,KUES-RW Erneuerung FS und Beleuchtung,KUES,RW,,,0,evtl. Cluster 4 Wo Sommer 26 Totalsperre,1/1/2024,10/15/2028,250,Umsetzung,,"47.2248871845, 8.81674495291",Rapperswil,0
ROT,ERLB Stw Ersatz,ERLB,ERLB,,,0,,1/1/2025,12/1/2026,100,Umsetzung,,"47.3057919232, 8.59152235647",Erlenbach ZH,0
ROT,"BehiG NID, LU, DSB, RUET, LINB, LIN",NID,LIN,,,0,"Pilot mit TU, Ziel Vorzug Umsetzung in Totalsperrung 2023",1/1/2026,10/7/2026,40,Umsetzung,,"46.9255635637, 8.9977948688",Linthal,0
ROT,"FbE24: GLB Gl: 23, 42, 43-3-56, W 5/6",GLB,GLB,,,2.3,Int. Konzept anfragen,5/1/2024,7/2/2024,9,Sperre Bahnhof Nacht,0.25,"47.4308267427, 8.55885413606",Glattbrugg,5
ROT,"FbE24 HRD: Gl.51, 52, W 2-5",HRD,HRD,,,0,Kann nicht mit ZWIP Sperre umgesetzt werden,1/1/2025,2/25/2025,8,Umsetzung,,"47.3915284925, 8.51144653427",Hard Käferberg (Abzw),0
ROT,Stw Ersatz FMS,FMS,FMS,,,0,,1/1/2025,12/1/2026,100,Umsetzung,,"47.0966166348, 9.34792927358",Flums,0
ROT,ZUE-CH div. Brückenplatten,ZUE,CH,,,0,,1/1/2029,10/31/2032,200,Umsetzung,,"46.853084163, 9.52893771993",Chur,0
ROT,"FbE26: FMS Gl. 42-2-72, W17, 18, 23-25 (evtl. Cluster mit BhiG)",FMS,FMS,,,0,Schieben max bis 2028 mit Massnahmen (Lüönd schiebt D auf 26),10/15/2026,12/16/2026,9,Sperre Bahnhof Nacht,0.25,"47.0966166348, 9.34792927358",Flums,5
ROT,OP-ZFH Teilern Flughafentunnel,OP,ZFH,,,0,,1/1/2025,12/9/2025,49,Sperre Bahnhof 24 Std,0.25,"47.4503856566, 8.56240184756",Zürich Flughafen,6
ROT,FbE26 ZOER-ZFH Gl100/200 (ex FbE22),OP,ZFH,,,4.5,ev. Cluster mit 750-1? 2x2 Wo Einspurbetrieb in FbE22 geplant,1/1/2026,3/25/2026,12,Umsetzung,,"47.4503856566, 8.56240184756",Zürich Flughafen,0
ROT,FbE25 ZFH-DORF Gl 100/200 (ex FbE21),ZFH,DORF,,,1.075,Wochenendsperrung,5/8/2025,5/21/2025,2,Sperre Strecke 24 Std,0.5,"47.4433780357, 8.60956981715",Dorfnest (Abzw),3
ROT,AS35 Brüttenertunnel Abschnitt WS-HUER,WS,HUER,,,0,,1/1/2026,8/31/2033,400,Umsetzung,0.25,"47.4224509409, 8.66343003186",Hürlistein (Abzw),0
ROT,W Abstellanlage Lindareal,W,W,,,0,Studienstart April 2020,1/1/2035,7/13/2036,80,Umsetzung,,"47.5003337739, 8.72382110762",Winterthur,0
ROT,"FbE24: HUER 110,112,114, Gl. 2-22+23",HUER,HUER,,,2.6,"Schlüsselprojekt, WS erforderlich, pro W 1 WE (Sperrperimeter Gl 22-72 / 23-73), Umbau Gl in 8 Std Intervallen möglich",1/1/2024,3/10/2024,10,Umsetzung,,"47.4224509409, 8.66343003186",Hürlistein (Abzw),0
ROT,AS35 FF Güterannahmegleis und Wendegleis FV 420m,FF,FF,,,0,,1/1/2026,12/29/2027,104,Umsetzung,,"47.5581634412, 8.89655962127",Frauenfeld,0
ROT,MUEL BehiG,MUEL,MUEL,,,0,,10/1/2024,9/15/2025,50,Umsetzung,,"47.5881645738, 9.01552204188",Müllheim-Wigoltingen,0
ROT,AS35 SLG-WF ZFZ,SLG,WF,,,0,Studie mit 840-6,1/1/2028,11/30/2029,100,Umsetzung,,"47.5662242454, 9.10636820814",Weinfelden,0
ROT,EdV WGR-SIR Perronverlängerung 320m,WGR,SIR,,,0,"aufwändige Bhfe: SCHK, AD, GUN, SIR",1/1/2027,4/4/2030,170,Umsetzung,,"47.4619971136, 9.00047421982",Sirnach,0
ROT,GSS Erweiterung Gleisanlage GV,GSS,GSS,,,0,,1/1/2024,10/6/2024,40,Umsetzung,,"47.4118315691, 9.25305071952",Gossau SG,0
ROT,SGWI Stw Ersatz,SGWI,SGWI,,,0,,1/1/2027,11/30/2028,100,Umsetzung,,"47.4039294299, 9.300860239",St Gallen Winkeln,0
ROT,AS35 W-SG ZFZ,WGR,SG,,,0,,1/1/2026,9/6/2028,140,Umsetzung,,"47.4231789578, 9.36989672929",St Gallen,0
ROT,6 Durchlässe AD-GSS,GUN,GSS,,,0,6 Durchlässe (gem PoMa)                                              GUN-AD Ersatz Bdu 121.326                  ALG-SCHZ Ersatz Du 104.251                 UZW-ALG Teilern Du 101.822                   UZW-ALG Teilern Bdu 98.366              GSS-BUDZ Teilern Bdu 91.319,1/1/2026,10/7/2026,40,Umsetzung,,"47.4118315691, 9.25305071952",Gossau SG,0
ROT,FsE GSS-SLG,GSS,SLG,,,0,"22 km FsE, 780 Fundamente, vorgesehen FsE24/25",1/1/2024,11/30/2025,100,Umsetzung,,"47.5388040261, 9.18369439908",Sulgen,0
ROT,"FbE24 HGT Gl1-51, 2-52",HGT,HGT,,,0,,1/1/2024,2/25/2024,8,Umsetzung,,"47.5642572262, 8.68507519504",Henggart,0
ROT,FsE22 O 769 WTOE-EMB Erneuerung ULK,WTOE,EMB,,,0,"ohne RS Dossier Verantwortung PM, ev Restarbeiten im 2024",1/1/2023,6/8/2024,75,Umsetzung,,"47.5205902494, 8.58706883565",Embrach-Rorbas,0
ROT,"AS35 DUE-UST-AAT ZFZ und DS, 2 Ersatz BUe Zürcherstr. / Winterthurerstr.",UST,AAT,,,0,"1. TP: 5 Wo Sommer 2027 Totalsperrung, zwingend Rest Randstd, 2. TP ca. 2 WE Sperrungen (2 Brücken), ev Stw Ersatz UST",6/1/2026,11/11/2029,180,Sperre Strecke Nacht,0.25,"47.3359591251, 8.76562510867",Aathal,2
ROT,"FbE24 UST Gl 3-43, W13",UST,UST,,,0,Fpl Konzept nötig (Ausfall wendende S9),1/1/2024,2/11/2024,6,Sperre Bahnhof Nacht,,"47.3503689645, 8.71870911871",Uster,5
ROT,FsE EF-WZ,EF,WZ,,,0,"24 km FL, 680 Fundamente",1/1/2024,11/30/2025,100,Sperre Strecke Nacht,0.25,"47.3180315958, 8.79228970642",Wetzikon,2
ROT,FsE OWT-EW,SEU,EW,,,0,"Abschnitt 3 SEU-EW, soll als Einzelprojekt beauftragt werden",1/1/2023,10/31/2026,200,Sperre Bahnhof Tag,0.5,"47.6611446979, 8.81861733248",Etzwilen,4
ROT,FT BehiG,FT,FT,,,0,"vorgesehen BZU Paket 3 2026+, möglicher Cluster mit FbE FT Gl1,2,10, W2,3",1/1/2026,10/16/2030,250,Umsetzung,,"47.6921694419, 8.645968468",Feuerthalen,0
ROT,AS35 KR Kapazitätserweiterung S44,KR,KR,60.4,60.8,0,Temp. Ausserbetriebnahme Gl. 4,1/1/2024,10/6/2024,40,Sperre Bahnhof Nacht,0.25,"47.6525527757, 9.16908040533",Kreuzlingen,5
ROT,FbE24_EW_Gl_4_5_33_W_12-17 (ex FbE22),EW,EW,,,1.579,Projektierungsvarianten: WE 54h oder Nacht 8h,3/1/2024,4/25/2024,8,Sperre Bahnhof Nacht,1,"47.6611446979, 8.81861733248",Etzwilen,5
ROT,FbE25 STR-EZ Gl 535 (ex FbE22),STR,EZ,,,1.327,Intervallvarianten: à 8h oder Wochenendsperrung à 54h,5/1/2025,6/25/2025,8,Sperre Strecke Nacht,1,"47.6454121293, 8.87656168183",Eschenz,2
ROT,AS35 Kreuzungsstation TOA oder TAEN (unklar wo?),TAEN,TAEN,,,0,ob TOA oder TAE ist unklar (je nach Unterlagen)!,1/1/2029,10/31/2032,200,Umsetzung,,"47.5093638855, 9.02479323479",Tägerschen,0
ROT,FbE25 SHAU-LENG Gl 732 (ex FbE20),SHAU,LENG,,,0,Totalsperrung geplant im 2020,1/10/2025,3/6/2025,8,Sperre Strecke 24 Std,1,"47.6255977915, 9.19028315307",Lengwil,3
ROT,FbE 24: Gl. 832: UZ - KAB,UZ,KAB,,,2.558,Zeitlich parallell zu Druckgelenksanierung Rickentunnel,9/10/2024,12/2/2024,12,Sperre Strecke Nacht,0.25,"47.2179832172, 9.0224310375",Kaltbrunn,2
ROT,AS35 LUET Kreuzungsstation,LUET,LUET,,,0,,1/1/2029,11/16/2031,150,Umsetzung,,"47.3838286581, 9.07068713915",Lütisburg,0
RSD,IM-BRU Unterhaltsfenster,IM,BRU,1,20.9,19.9,Unterhaltsfenster,5/5/2024,5/18/2024,2,Sperre Strecke Nacht,0.5,"46.9991749495, 8.61006762236",Brunnen,2
RSD,FbE24_GD_W_74-75-119-120-121_GL_15-39-76,GD,GD,8.6,9.1,0.5,FbE24,6/3/2024,6/30/2024,4,Sperre Bahnhof Tag,0.25,"47.049044874, 8.54944633996",Arth-Goldau,4
RSD,"STN-GD, 15kV Speisung Anpassungen",GD,SCHW,8.6,18.6,10,FS,1/1/2023,7/27/2024,82,Sperre Bahnhof Nacht,0.5,"47.0263971725, 8.6321517606",Schwyz,5
RSD,BZU23_Göschenen,GOE,GOE,70.35,70.55,,BZU23,3/1/2024,12/26/2024,43,Sperre Bahnhof Nacht,0.5,"46.6658149308, 8.5888081861",Göschenen,5
RSD,BZU23; Airolo,AI,AI,86,86.4,0.4,BZU23,7/1/2024,11/23/2025,73,Sperre Bahnhof Tag,0.25,"46.5275259222, 8.60861971573",Airolo,4
RSD,BZU23; Faido,FA,FA,105.75,106.2,0.45,BZU23,3/1/2025,10/31/2025,35,Sperre Bahnhof 24 Std,0.5,"46.4830754867, 8.79071005429",Faido,6
RSD,BZU23; Lavorgo,LAV,LAV,112.45,112.7,0.25,BZU23,3/1/2025,10/31/2025,35,Sperre Bahnhof 24 Std,0.25,"46.4409016988, 8.83974736529",Lavorgo,6
RSD,UF_2024_(GIDI)-(CAST),GIDI,CAST,135.25,145.65,10.4,Unterhaltsfenster,9/23/2024,9/29/2024,1,Sperre Strecke Nacht,0.5,"46.2229216623, 9.04146179352",Castione-Arbedo,2
RSD,Phase A7 (BIN 100+ 200),BEL,GIU,151.877,152.44,0.563,Bellinzona Sud 892 152-12,7/22/2024,10/20/2024,13,Sperre Strecke Nacht,0.5,"46.1738126869, 9.00360006177",Giubiasco,2
RSD,Phase B1,BEL,GIU,151.345,152.121,0.776,Eliminazione SPW Dragonato,12/22/2025,3/1/2026,10,Sperre Strecke Nacht,0.25,"46.1738126869, 9.00360006177",Giubiasco,2
RSD,Diverse Bauphasen in die Strecke,VEZB,CAP,178.278,195.442,,Dynamische Test Fahrten (+6 Mt),1/1/2024,6/30/2024,26,Sperre Strecke Nacht,1,"45.9028373055, 8.97890520587",Capolago-Riva S Vitale,2
RSD,LUG Modulo 3 (PU Besso),LG,LG,,,,Dritte,3/1/2021,12/29/2024,200,Umsetzung,,"46.0055005508, 8.94699524398",Lugano,0
RSD,Diverse Phasen in Bahnhof,MDE,MDE,186.908,187.576,,,6/1/2024,12/5/2025,79,Sperre Bahnhof Nacht,0.25,"45.9557134937, 8.94835914329",Melide,5
RME,AS35 GREL-DUG Doppelspurausbau,GREL,DUG,107,111.4,0.1114,Sperrmuster ohne RM,9/1/2025,5/3/2026,35,Sperre Strecke Nacht,1,"47.4534448145, 7.60346074943",Duggingen,2
RME,"FbE24 TH W. 223, 224, 231-233, 237, 251, 252",TH,TH,137,137.45,0.13745,,1/15/2024,12/15/2024,48,Sperre Strecke Nacht,,"46.7548527757, 7.62960576339",Thun,2
RME,,WBOL,WBOL,,,0,"Vorzugsvariante, allf. mit PU Kleinwangen",6/8/2024,12/6/2024,26,Sperre Bahnhof Nacht,0.5,"47.3414007003, 7.86836046729",Wangen bei Olten,5
RME,Bettlach: Umbau Bahnhof (BehiG/LHand),BET,BET,82.639,83.09,0.08309,Zusätzlich Erneuerung mit UBS Gl. 682,1/1/2026,12/16/2026,50,Sperre Bahnhof Nacht,0.5,"47.1949494237, 7.42837301675",Bettlach,5
RME,Selzach: Umbau Bahnhof (BehiG/LHand),SEL,SEL,,,0,,1/1/2026,12/16/2026,50,Sperre Bahnhof Nacht,0.5,"47.2006240031, 7.4566349874",Selzach,5
RME,Langenthal West: Verbindungslinie Önz Stammlinie - ABS,LTH,HB,63.7,64.5,0.0645,,6/30/2025,10/27/2030,278,Sperre Strecke Nacht,0.25,"47.1880861101, 7.70095832122",Herzogenbuchsee,2
RME,"FbE24 ZOL Gleis 4, P4, P14 und Weichen 351, 352, 357, 358",ZOL,ZOL,97.9,98.9,0.0989,Hauptsächlich Nebenanlagen ausser Gleis 4,1/15/2024,12/15/2024,48,Umsetzung,,"47.0018259804, 7.46291123529",Zollikofen,0
RME,Vorarbeiten Cluster SCHH_LN,LN,SCHH,38.1,59.7,0.0597,Div.,2/1/2025,4/4/2025,9,Sperre Strecke Nacht,0.25,"46.9506473328, 8.01515060209",Schüpfheim,2
RME,"FbE24 LN Gleise 4, 5, 6, 7, 46, 47 und Weichen 14, 21, 22, 41-44",LN,LN,37.4,38,0.038,Integration BZU Massnahmen,1/15/2026,12/16/2026,48,Sperre Bahnhof 24 Std,0.25,"46.9392422605, 7.78419750003",Langnau iE,6
RME,"AS35: Dagmersellen, Überhol- u. Annahmegleis für Güterzüge à 750 m",DAG,DAG,54.9,56.3,0.0563,Koo mit AS25/35 Zofingen: Schnelle Einfahrt G nach Gleis 4,7/1/2026,10/17/2028,120,Sperre Strecke 24 Std,0.25,"47.2175579138, 7.97902593539",Dagmersellen,3
RME,"Ersatz Stellwerke ZF, DAG, SS, SEM, RBG,",ZF,RBG,46.5,85,0.085,,1/1/2027,11/30/2028,100,Sperre Strecke Nacht,0.25,"47.0881900168, 8.24918003636",Rothenburg,2
RME,"Oberkirch, Massnahmen BZU-B23",OBK,OBK,71,71.3,0.0713,,8/18/2024,10/19/2024,9,Sperre Strecke 24 Std,0.25,"47.1552376585, 8.11423443373",Oberkirch LU,3
RME,"ZEB: Luzern, Neue Weichenverbindung u ZFZ-Verkürzung",LZ,LZ,94.4,95.05,0.09505,"inkl. FbE  LZ Gl. 2, 3, 4, W. 15, 30, 31, 32, 41 sowie in Koo mit FbE FbE LZ W28, 29",9/18/2022,6/22/2024,92,Sperre Bahnhof Nacht,0.25,"47.0501778105, 8.31018315401",Luzern,5
RME,AS35 Safenwil: Bau Annahmegleis Gleis 2,SAF,SAF,6.6,7,0.007,,1/1/2025,12/21/2027,155,Sperre Strecke Nacht,0.25,"47.3217579027, 7.98351818243",Safenwil,2
RME,Neue Abstellanlage Dulliken,DK,DK,,,0,,1/1/2028,12/28/2029,104,Sperre Bahnhof 24 Std,1,"47.3563901233, 7.97877139805",Däniken,6
RME,Serviceanlage Däniken,DKRB,DKRB,,,0,,1/1/2028,12/28/2029,104,Sperre Bahnhof 24 Std,0.25,"47.3534202455, 7.97128545373",Däniken RB,6
RME,Umleitung 640-710,RU,KLW,,,0,Grundfahrplan 24-30 muss ohne Umleitung auskommen,8/1/2024,12/25/2030,334,Umleitung,,"47.4333288409, 8.35421393402",Killwangen-Spreitenbach,404
RME,,AA,RU,,,0,"Passerelle Aarau Torfeld, Drittauftrag, Totalsperre 4h für Einbau Passerelle inkl. Vor- und Nacharbeiten. Allf. NNP-relevant",7/7/2024,9/21/2024,11,Sperre Strecke Nacht,1,"47.4032902238, 8.12695636496",Rupperswil,2
RME,"OI, BZU23 Perronerhöhung",OL,OL,94.7,95.4,ganzer Bhf,,1/1/2024,12/29/2024,52,Sperre Bahnhof Nacht,0.25,"47.3519347412, 7.90769966099",Olten,5
RME,AS35 Ebikon: Wendegleis mit Perronkante,GSK,KUE,58,60.4,ganzer Bhf,,1/1/2026,12/25/2030,260,Sperre Bahnhof 24 Std,0.5,"47.0835941099, 8.43351749599",Küssnacht am Rigi,6
RME,Brugg-Turgi Reussbrücke Gebenstorf,BG,TG,,,0,DEB über 2 x 5 Wochen oder Bauweiche über mehrere Monate,1/1/2024,12/29/2024,52,Sperre Strecke Tag,0.5,"47.4917573104, 8.25345865884",Turgi,1
RME,LED Rollout,TG,TG,,,0,6 WE in Prüfung,1/1/2024,12/29/2024,52,Sperre Bahnhof 24 Std,0.5,"47.4917573104, 8.25345865884",Turgi,6
RME,"TG, W. 4, 14-16",TG,TG,,,0,,1/1/2024,12/29/2024,52,Sperre Bahnhof 24 Std,1,"47.4917573104, 8.25345865884",Turgi,6
RWT,La Plaine : prèparation nouvelle gare,LP,LP,,,,,7/15/2024,7/28/2024,2,Sperre Strecke 24 Std,1,"46.1786654048, 5.99999275337",La Plaine,3
RWT,RIM Vernier Meyrin Cargo - Satgny,,,,,,,7/1/2026,8/25/2026,8,Sperre Strecke 24 Std,0.5,,,3
RWT,Genève Aéroport : remise en conformité zone d'enraillement,GEAP,CHNE,65.5,65.5,,,10/1/2023,3/30/2024,26,Sperre Strecke 24 Std,0.5,"46.2171294664, 6.10260397474",Châtelaine (bif),3
RWT,Genéve : assainissement du PI de la Paix,GE,GE,58.75,58.75,,,1/1/2023,12/28/2024,104,Sperre Strecke Nacht,0.25,"46.2102129079, 6.14245160789",Genève,2
RWT,Morges - St.Prex : FbE voie 309,MOR,STP,13.1,16.6,3.5,,7/1/2024,7/28/2024,4,Sperre Strecke 24 Std,0.5,"46.4823168698, 6.45590595285",St-Prex,3
RWT,Lausanne : ZEB,LS,LS,,,,,1/1/2021,11/25/2027,360,Sperre Strecke 24 Std,0.25,"46.5167918174, 6.62909229044",Lausanne,3
RWT,Rose : Wako lot 5.2,ROS,ROS,,,,,1/1/2024,12/29/2024,52,Sperre Bahnhof 24 Std,0.5,"46.7826334225, 7.06196863764",Rosé,6
RWT,Fribourg : Wako lot 5.3,FRI,FRI,,,,,1/1/2024,12/29/2024,52,Sperre Bahnhof Nacht,0.25,"46.8031481543, 7.15104693583",Fribourg/Freiburg,5
RWT,FbE23 Roche - Aigle V123,ROC,AIG,34.366,38.626,-4.26,,7/3/2023,7/14/2024,54,Sperre Strecke Nacht,0.5,"46.3168554187, 6.96368323783",Aigle,2
RWT,"St-Triphon, voie de dépassement",ST,AIG,42.695,41.065,1.63,"EP en cours, Jacques Nicolier",1/1/2024,12/26/2027,208,Sperre Strecke Nacht,0.5,"46.3168554187, 6.96368323783",Aigle,2
RWT,Tunnel des Epoisats & renouvellement VF Le Day Le Pont V319,PT,DAY,11.413,3.246,8.167,AP terminé,,###############################################################################################################################################################################################################################################################,,,,"46.7173763767, 6.40066878869",Le Day,404
RWT,"Cornaux, FS23 renouvel LC + poste distribution",CORN,CORN,,,,pas de CPr,1/1/2023,12/30/2023,52,Sperre Bahnhof Nacht,0.25,"47.0385720221, 7.02336560983",Cornaux,5
ROT,EdV: Furttal 320 m,ZSEB,WE,,,,Umsetzungszeitraum offen,6/1/2027,4/30/2029,100,Umsetzung,,"47.4596382122, 8.31600613226",Wettingen,0
ROT,Ph 1: WUER + ZAF+OF,ZSEB,WUER,,,,Perronverlängerung,1/1/2028,7/28/2028,30,Sperre Strecke Nacht,0.25,"47.4457594532, 8.35766785904",Würenlos,2
ROT,Verlängerung 750m Ausfahrt WUER,WUER,WUER,,,,Studie startet 2021 (Regio RaPla),1/1/2029,10/1/2034,300,Umsetzung,,"47.4457594532, 8.35766785904",Würenlos,0
ROT,AS25 DT Regionalterminal,DT,DT,,,,,1/1/2024,10/6/2024,40,Umsetzung,,"47.405783798, 8.40498813474",Dietikon,0
